iter	Logloss	Accuracy
0	0.6634736596	0.6202819293
1	0.6539246723	0.6215804522
2	0.6499623202	0.6223046285
3	0.6478308913	0.6260129103
4	0.6463031376	0.6267620582
5	0.6454914472	0.6268369729
6	0.6445408861	0.6272614901
7	0.643700607	0.627323919
8	0.6428026347	0.6277858935
9	0.6423051925	0.6278608083
10	0.6418072451	0.6285350414
11	0.641452222	0.6291218739
12	0.6411222194	0.6298710217
13	0.6406900817	0.6303329962
14	0.6404006252	0.6306076838
15	0.6401195271	0.6310571725
16	0.639849696	0.63133186
17	0.6395610614	0.6315690902
18	0.6394075393	0.6317438913
19	0.6392007174	0.6312944026
20	0.6385268229	0.6318562635
21	0.6380836071	0.6319561499
22	0.6377157893	0.6322433232
23	0.6372223938	0.6331547864
24	0.6368704924	0.6335293604
25	0.6364725363	0.6337665905
26	0.6361672352	0.6338914485
27	0.6359189744	0.6338664769
28	0.6356751843	0.634353423
29	0.6353846766	0.6346905395
30	0.6350442568	0.635027656
31	0.6349872475	0.6351025708
32	0.6346776635	0.6349527413
33	0.6344612444	0.6351400282
34	0.634095728	0.6355520595
35	0.6337166326	0.6367631819
36	0.6333493111	0.6369504688
37	0.6329839054	0.6375123297
38	0.6326429887	0.6379118752
39	0.6323443071	0.6383114208
40	0.6320456581	0.6386360515
41	0.6315487416	0.6394101709
42	0.6314102331	0.6394601141
43	0.6312518066	0.6395974579
44	0.6312366263	0.6396474011
45	0.6311719541	0.6391479692
46	0.6308628934	0.6397348017
47	0.6307623786	0.6399470602
48	0.6302999808	0.6397722591
49	0.6301310191	0.6397722591
