iter	Passed	Remaining
0	15	744
1	35	849
2	54	855
3	68	788
4	88	800
5	126	929
6	145	895
7	159	839
8	173	788
9	186	746
10	198	702
11	210	667
12	226	643
13	240	618
14	253	590
15	267	567
16	282	548
17	294	523
18	308	503
19	320	480
20	331	458
21	344	438
22	357	419
23	369	400
24	382	382
25	397	366
26	407	347
27	419	329
28	433	313
29	444	296
30	456	280
31	470	264
32	482	248
33	493	232
34	504	216
35	517	201
36	529	186
37	543	171
38	555	156
39	569	142
40	580	127
41	591	112
42	603	98
43	614	83
44	625	69
45	638	55
46	652	41
47	665	27
48	677	13
49	690	0
